Series #,NPS (in),Schedule,Type,Raised face OD (RF_OD) (mm),Raised face depth (h) (mm),Flange_OD (O),Bolt Circle Diameter (W),Bolt Hole Diameter (d) (in),Bolt Hole Diameter (d) (mm),Number of bolts (n),Bolt Spec (diameter) (in),Bolt Spec (metric type),Length of bolts (L) (mm),Flange Thickness (t_f) (mm),Hub Diameter (X),Neck Chamfer (A_h) (mm),Slip-on flange body thickness (Y),Weld Neck flange body thickness (Y),Slip on bore diameter (B2),Weld Neck bore diameter (B)
150,1,STD,Long Weld Neck,50.8,1.5,108,79.2,0.625,15.875,4,0.5,M-idk,65,12.7,49,33.5,16,54,34.5,26.7
150,1.25,STD,Long Weld Neck,63.5,1.5,117,88.9,0.625,15.875,4,0.5,M-idk,70,14.2,59,42.2,19,56,43.2,35.1
150,1.5,STD,Long Weld Neck,73,1.5,127,98.6,0.625,15.875,4,0.5,M-idk,70,15.9,65,48.3,21,60,49.5,40.9
150,2,STD,Long Weld Neck,91.9,1.5,152,120.6,0.75,19.05,4,0.625,M-idk,85,17.5,78,60.5,24,62,61.9,52.6
150,2.5,STD,Long Weld Neck,104.6,1.5,178,139.7,0.75,19.05,4,0.625,M-idk,90,20.6,90,73.2,27,68,74.7,62.7
150,3,STD,Long Weld Neck,127,1.5,190,152.4,0.75,19.05,4,0.625,M-idk,90,22.4,108,88.9,28,68,90.7,78
150,3.5,STD,Long Weld Neck,139.7,1.5,216,177.8,0.75,19.05,8,0.625,M-idk,90,22.4,122,101.6,30,70,103.4,90.2
150,4,STD,Long Weld Neck,157.2,1.5,229,190.5,0.75,19.05,8,0.625,M-idk,90,22.4,135,114.3,32,75,116.1,102.4
300,1,STD,Long Weld Neck,50.8,1.5,124,88.9,0.75,19.05,4,0.625,M-idk,75,15.7,54,33.5,25,60,34.5,26.7
300,1.25,STD,Long Weld Neck,63.5,1.5,133,98.6,0.75,19.05,4,0.625,M-idk,85,17.5,64,42.2,25,64,43.2,35.1
300,1.5,STD,Long Weld Neck,73,1.5,155,114.3,0.875,22.225,4,0.75,M-idk,90,19,70,48.3,29,67,49.5,40.9
300,2,STD,Long Weld Neck,91.9,1.5,165,127,0.75,19.05,8,0.625,M-idk,90,20.6,84,60.5,32,68,62,52.6
300,2.5,STD,Long Weld Neck,104.6,1.5,190,149.4,0.875,22.225,8,0.75,M-idk,100,23.9,100,73.2,37,75,74.7,62.7
300,3,STD,Long Weld Neck,127,1.5,210,168.1,0.875,22.225,8,0.75,M-idk,110,26.9,117,88.9,41,78,90.7,78
300,3.5,STD,Long Weld Neck,139.7,1.5,229,184.2,0.875,22.225,8,0.75,M-idk,110,28.4,133,101.6,43,80,103.4,90.2
300,4,STD,Long Weld Neck,157.2,1.5,254,200.2,0.875,22.225,8,0.75,M-idk,115,30.2,146,114.3,46,84,116.1,102.4
400,1,STD,Long Weld Neck,50.8,6.4,124,88.9,0.75,19.05,4,0.625,M-idk,90,17.5,54,33.5,27,62,34.5,-999
