DN,D,K,L,n,d,A_h,B1,B2,B3,c1,c2,c3,c4,E,F,F,F,F,G_max,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,S,
10,90,60,14,4,M12,17.2,18.0,21,31,14,16,16,16,3,12,5,2,2.5,—,22,35,6,35,35,7,28,30,28,4,1.8,
15,95,65,14,4,M12,21.3,22.0,25,35,14,16,16,16,3,12,5,2,2.5,—,22,38,6,38,38,7,32,35,32,4,2.0,
20,105,75,14,4,M12,26.9,27.5,31,42,16,18,18,18,4,14,6,2.5,3,—,26,40,6,40,40,8,40,45,40,4,2.3,
25,115,85,14,4,M12,33.7,34.5,38,49,16,18,18,18,4,14,7,2.5,3,—,28,40,6,40,40,10,46,52,50,4,2.6,
32,140,100,18,4,M16,42.4,43.5,47,59,18,18,18,18,5,14,8,3,3,—,30,42,6,42,42,12,56,60,60,6,2.6,
40,150,110,18,4,M16,48.3,49.5,53,67,18,18,18,18,5,14,8,3,3,—,32,45,7,45,45,15,64,70,70,6,2.6,
50,165,125,18,4,M16,60.3,61.5,65,77,20,18,18,18,5,16,8,3,3,—,28,45,8,45,45,20,74,84,84,6,2.9,
65,185,145,18,8d,M16,76.1,77.5,81,96,20,18,18,18,6,16,8,3,3,55,32,45,10,45,45,20,92,104,104,6,2.9,
80,200,160,18,8,M16,88.9,90.5,94,108,20,20,20,20,6,16,10,3,3,70,34,50,10,50,50,25,105,118,120,6,3.2,
100,220,180,18,8,M16,114.3,116.0,120,134,22,20,20,20,6,18,10,4,4,90,40,52,12,52,52,25,131,140,140,8,3.6,
125,250,210,18,8,M16,139.7,141.5,145,162,22,22,22,22,6,18,10,4,4,115,44,55,12,55,55,25,156,168,170,8,4.0,
150,285,240,22,8,M20,168.3,170.5,174,188,24,22,22,22,6,20,10,5,4,140,44,55,12,55,55,25,184,195,190,10,4.5,
200,340,295,22,8,M20,219.1,221.5,226,240,24,24,24,24,6,20,11,5,5,190,44,62,16,62,62,30,234,246,246,10,6.3,
250,395,350,22,12,M20,273.0,276.5,281,294,26,26,26,26,8,22,12,8,—,235,46,68,16,68,68,—,292,298,298,12,6.3,
300,445,400,22,12,M20,323.9,327.5,333,348,26,26,26,26,8,22,12,8,—,285,46,68,16,68,68,—,342,350,348,12,7.1,
350,505,460,22,16,M20,355.6,359.5,365,400,30,26,26,26,8,22,13,8,—,330,53,68,16,68,68,—,385,400,408,12,7.1,
400,565,515,26,16,M24,406.4,411.0,416,450,32,26,26,26,8,24,14,8,—,380,57,72,16,72,72,—,440,456,456,12,7.1,
450,615,565,26,20,M24,457.0,462.0,467,498,36,28,28,28,8,24,15,—,—,425,63,72,16,72,—,—,488,502,502,12,7.1,
500,670,620,26,20,M24,508.0,513.5,519,550,38,28,28,28,8,26,16,—,—,475,67,75,16,75,—,—,542,559,559,12,7.1,
600,780,725,30,20,M27,610.0,616.5,622,650,42,30,34,34,8,26,18,—,—,575,75,82,18,80,—,—,642,658,658,12,8.0,
700,895,840,30,24,M27,711.0,-999,721,—,50,35,-999,38,8,—,20,—,—,670,—,85,18,80,—,—,746,—,772,12,—,
800,1015,950,33,24,M30,813.0,-999,824,—,56,38,-999,48,8,—,20,—,—,770,—,96,18,90,—,—,850,—,876,12,—,
