DN,D,K,L,n,d,A_h,B1,B2,B3,c1,c2,c3,c4,E,F,F,G_max,H1,H2,H3,H4,N1,N2,N3,R1,S,
10,90,60,14,4,M12,17.2,18.0,21,31,14,16,16,16,3,12,5,—,22,35,6,35,28,30,28,4,1.8,
15,95,65,14,4,M12,21.3,22.0,25,35,14,16,16,16,3,12,5,—,22,38,6,38,32,35,32,4,2.0,
20,105,75,14,4,M12,26.9,27.5,31,42,16,18,18,18,4,14,6,—,26,40,6,40,40,45,40,4,2.3,
25,115,85,14,4,M12,33.7,34.5,38,49,16,18,18,18,4,14,7,—,28,40,6,40,46,52,50,4,2.6,
32,140,100,18,4,M16,42.4,43.5,47,59,18,18,18,18,5,14,8,—,30,42,6,42,56,60,60,6,2.6,
40,150,110,18,4,M16,48.3,49.5,53,67,18,18,18,18,5,14,8,—,32,45,7,45,64,70,70,6,2.6,
50,165,125,18,4,M16,60.3,61.5,65,77,20,20,20,20,5,16,10,—,34,48,8,48,75,84,84,6,2.9,
65,185,145,18,8,M16,76.1,77.5,81,96,22,22,22,22,6,16,11,55,38,52,10,52,90,104,104,6,2.9,
80,200,160,18,8,M16,88.9,90.5,94,114,24,24,24,24,6,18,12,70,40,58,12,58,105,118,120,8,3.2,
100,235,190,22,8,M20,114.3,116.0,120,138,26,24,24,24,6,20,14,90,44,65,12,65,134,145,142,8,3.6,
125,270,220,26,8,M24,139.7,141.5,145,166,28,26,26,26,6,22,16,115,48,68,12,68,162,170,162,8,4.0,
150,300,250,26,8,M24,168.3,170.5,174,194,30,28,28,28,6,24,18,140,52,75,12,75,192,200,192,10,4.5,
200,360,310,26,12,M24,219.1,221.5,226,250,32,30,30,30,6,26,18,190,52,80,16,80,244,256,252,10,6.3,
250,425,370,30,12,M27,273.0,276.5,281,302,35,32,32,32,8,26,18,235,60,88,18,88,298,310,304,12,7.1,
300,485,430,30,16,M27,323.9,327.5,333,356,38,34,34,34,8,28,20,285,67,92,18,92,352,364,364,12,8.0,
350,555,490,33,16,M30,355.6,359.5,365,408,42,38,38,38,8,32,22,332,72,100,20,100,398,418,418,12,8.0,
400,620,550,36,16,M33,406.4,411.0,416,462,48,40,40,40,8,34,24,380,78,110,20,110,452,472,472,12,8.8,
450,670,600,36,20,M33,457.0,462.0,467,510,54,46,46,50,8,36,26,425,84,110,20,110,500,520,520,12,8.8,
500,730,660,36,20,M33,508.0,513.5,519,568,58,48,48,51,8,38,28,475,90,125,20,125,558,580,580,12,10.0,
600,845,770,39,20,M36,610.0,616.5,622,670,68,48,58,66,8,40,30,575,100,125,20,125,660,684,684,12,11.0,
700,960,875,42,24,M39,711.0,-999,721,—,85,50,-999,-999,8,—,30,—,—,129,20,125,760,—,780,12,—,
800,1085,990,48,24,M45,813.0,-999,824,—,95,53,-999,-999,8,—,35,—,—,138,22,135,864,—,882,12,—,
