DN,D,K,L,n,d,A_h,B1,B2,c1,c2,c3,c4,E,F,F,F,F,G_max,H1,H2,H3,H4,H4,H5,N1,N2,N3,R1,
10,75,50,11,4,M10,17.2,18.0,21,12,12,12,12,3,10,5,2,2.5,—,20,28,6,28,35,7,26,25,20,4,
15,80,55,11,4,M10,21.3,22.0,25,12,12,12,12,3,10,5,2,2.5,—,20,30,6,30,38,7,30,30,26,4,
20,90,65,11,4,M10,26.9,27.5,31,14,14,14,14,4,10,6,2.5,3,—,24,32,6,32,40,8,38,40,34,4,
25,100,75,11,4,M10,33.7,34.5,38,14,14,14,14,4,10,7,2.5,3,—,24,35,6,35,40,10,42,50,44,4,
32,120,90,14,4,M12,42.4,43.5,46,16,14,14,14,5,10,8,3,3,—,26,35,6,35,42,12,55,60,54,6,
40,130,100,14,4,M12,48.3,49.5,53,16,14,14,14,5,10,8,3,3,—,26,38,7,38,45,15,62,70,64,6,
50,140,110,14,4,M12,60.3,61.5,65,16,14,14,14,5,12,8,3,3,—,28,38,8,38,45,20,74,80,74,6,
65,160,130,14,4,M12,76.1,77.5,81,16,14,14,14,6,12,8,3,3,55,32,38,9,38,45,20,88,100,94,6,
80,190,150,18,4,M16,88.9,90.5,94,18,16,16,16,6,12,10,3,3,70,34,42,10,42,50,25,102,110,110,8,
100,210,170,18,4,M16,114.3,116.0,120,18,16,16,16,6,14,10,4,4,90,40,45,10,45,52,25,130,130,130,8,
125,240,200,18,8,M16,139.7,141.5,145,20,18,18,18,6,14,10,4,4,115,44,48,10,48,55,25,155,160,160,8,
150,265,225,18,8,M16,168.3,170.5,174,20,18,18,18,6,14,10,5,4,140,44,48,12,48,55,25,184,185,182,10,
200,320,280,18,8,M16,219.1,221.5,226,22,20,20,20,6,16,11,5,5,190,44,55,15,55,62,30,236,240,238,10,
250,375,335,18,12,M16,273.0,276.5,281,24,22,22,22,8,18,12,8,,235,44,60,15,60,68,—,290,295,284,12,
300,440,395,22,12,M20,323.9,327.5,333,24,22,22,22,8,18,12,8,,285,44,62,15,62,68,—,342,355,342,12,
350,490,445,22,12,M20,355.6,359.5,365,26,22,22,22,8,18,13,8,,330,—,62,15,62,68,—,385,—,392,12,
400,540,495,22,16,M20,406.4,411.0,416,28,22,22,22,8,20,14,8,,380,—,65,15,65,72,—,438,—,442,12,
450,595,550,22,16,M20,457.0,462.0,467,30,22,22,24,8,20,15,8,—,425,—,65,15,72,72,—,492,—,494,12,
500,645,600,22,20,M20,508.0,513.5,519,30,24,24,24,8,22,16,8,—,475,—,68,15,75,75,—,538,—,544,12,
600,755,705,26,20,M24,610.0,616.5,622,32,30,30,30,8,22,16,—,—,575,—,70,16,70,—,—,640,—,642,12,
700,860,810,26,24,M24,711.0,-999,721,40,30,30,40,4,—,16,—,—,670,—,76,16,70,—,—,740,—,746,12,
800,975,920,30,24,M27,813.0,-999,824,44,30,30,44,4,—,16,—,—,770,—,76,16,70,—,—,842,—,850,12,
